Date,Transaction type,Description,Paid out,Paid in,Balance
01 Dec 2017,Visa purchase,AMAZON,16.99,,414.01
01 Dec 2017,Contactless Payment,BLOOMSBURY BOWLING,1.00,,413.01
02 Dec 2017,Contactless Payment,BLOOMSBURY BOWLING,3.50,,409.51
02 Dec 2017,Contactless Payment,THE GOAT,25.05,,384.46
02 Dec 2017,Contactless Payment,T K MAXX,26.98,,357.48
02 Dec 2017,Contactless Payment,THE GOAT,30.80,,326.68
04 Dec 2017,Contactless Payment,MARKS&SPENCER,0.20,,326.48
04 Dec 2017,Visa purchase,28 WEST,47.30,,279.18
04 Dec 2017,Contactless Payment,THE CORNISH PASTY COMP,7.95,,271.23
04 Dec 2017,Contactless Payment,BLOOMSBURY BOWLING,12.10,,259.13
04 Dec 2017,Contactless Payment,HAWKINS FORGE,13.00,,246.13
04 Dec 2017,Visa purchase,WAITROSE,47.00,,199.13
04 Dec 2017,Contactless Payment,CARDS GALORE,7.99,,191.14
04 Dec 2017,Visa purchase,ITUNES,0.99,,190.15
04 Dec 2017,Visa purchase,AMAZON,11.99,,178.16
04 Dec 2017,Visa purchase,AMAZON,13.99,,164.17
04 Dec 2017,Contactless Payment,LIDL,9.70,,154.47
04 Dec 2017,Visa purchase,T K MAXX,2.99,,151.48
04 Dec 2017,Contactless Payment,RAILWAY,20.35,,131.13
04 Dec 2017,Contactless Payment,THE DRAWING ROOM,16.00,,115.13
04 Dec 2017,Contactless Payment,WAITROSE,1.60,,113.53
04 Dec 2017,Contactless Payment,WAITROSE,4.58,,108.95
04 Dec 2017,Contactless Payment,POST OFFICE,0.90,,108.05
05 Dec 2017,Contactless Payment,PAPERCHASE,7.75,,100.30
05 Dec 2017,Contactless Payment,CORNEY & BARROW,13.70,,86.60
06 Dec 2017,Transfer from HOUSE MATE,RENT,,401.00,487.60
06 Dec 2017,Contactless Payment,CAFFE NERO,1.15,,486.45
07 Dec 2017,Contactless Payment,CYCLE REPUBLIC,4.80,,481.65
08 Dec 2017,Contactless Payment,MCDONALDS,5.19,,476.46
09 Dec 2017,Contactless Payment,MARKS&SPENCER,4.05,,472.41
09 Dec 2017,Visa purchase,DOMINOS PIZZA,7.18,,465.23
11 Dec 2017,ELECTRIC,ELECTRIC,30.00,,435.23
11 Dec 2017,GAS LIMITED,GAS,30.00,,405.23
11 Dec 2017,Direct debit,RENT,802.00,,-396.77
11 Dec 2017,Contactless Payment,LIDL,0.24,,-397.01
11 Dec 2017,Visa purchase,L'OCCITANE,24.00,,-421.01
11 Dec 2017,Contactless Payment,LIDL,31.74,,-452.75
